id_estaciones,lat,lon,pertenece_poligono
ISANLO71,-32.74536,-60.74527,True
IROSAR5,-32.93009,-60.80476,True
IPREZ1,-32.9975,-60.76801,True
IROSAR59,-33.08483,-60.73341,True
IROSAR58,-33.08493,-60.72656,True
IPERGA17,-33.86997,-60.57628,True
IPERGA2,-33.90082,-60.57478,True
ILAINV4,-34.26686,-60.51783,True
ISANTAFE119,-31.66348,-60.75888,False
ISANTA816,-31.65618,-60.71825,False
ISANTAFE111,-31.65708,-60.71803,False
ISANLO11,-32.81152,-60.72078,True
IROSAR68,-32.91787,-60.8096,True
ISANTAFE18,-33.31502,-60.60337,True
IPERGA19,-33.90092,-60.57457,True
IPERGA14,-33.89128,-60.57283,True
ISANTAFE130,-31.60699,-60.70356,False
ISANLORE33,-32.81974,-60.70554,True
IROSAR13,-32.96384,-60.72445,True
ICONSTIT7,-33.39299,-60.49813,True
IBAPERGA16,-33.86659,-60.56293,True
IIRALA5,-34.83768,-60.61493,False
ISANTAFE84,-31.63728,-60.70749,False
ISANTA314,-31.62561,-60.70194,False
ISANTA313,-31.62564,-60.70194,False
ISANTA304,-31.62572,-60.70164,False
ISANTA1257,-31.64324,-60.69497,False
ISANTAFE65,-31.63302,-60.69578,False
IPARAN56,-31.82325,-60.52064,False
IPARAN86,-31.78198,-60.51729,False
IROSAR57,-32.85991,-60.71149,True
IROSAR38,-32.87644,-60.73495,True
IROSARIO16,-32.86036,-60.70676,True
IROSAR56,-32.86011,-60.70646,True
IROSAR102,-32.923,-60.786,True
IROSARIO34,-32.92541,-60.77119,True
ISANTAFE105,-32.99466,-60.6511,True
IVILLA133,-33.0257,-60.62199,True
IGENER418,-33.103,-60.571,True
IROSARIO28,-33.10956,-60.55213,True
IARROY63,-33.15906,-60.51903,True
ISANNICO29,-33.60379,-60.38225,True
IPERGA15,-33.89565,-60.55625,True
ILAINV2,-34.26746,-60.39883,False
ISANTAFE122,-31.60392,-60.69562,False
ISANTAFE69,-31.57867,-60.68789,False
ISANTAFE34,-31.62805,-60.69119,False
ISANTAFE124,-31.61235,-60.68245,False
ISANTAFE126,-31.63593,-60.68828,False
IPARAN66,-31.77588,-60.50535,False
IPARAN88,-31.75355,-60.50232,False
ICRESP10,-32.03983,-60.32595,False
ICRESP8,-32.0316,-60.30526,False
IROSAR86,-32.89051,-60.68974,True
IROSAR15,-32.89896,-60.69244,True
IROSAR17,-32.89979,-60.69228,True
IROSAR50,-32.92934,-60.73786,True
ISANTAFE118,-32.93784,-60.73162,True
IROSAR84,-32.9332,-60.7174,True
IROSAR73,-32.93401,-60.7174,True
IROSAR26,-32.93412,-60.71754,True
IROSAR75,-32.93414,-60.71752,True
IROSAR30,-32.96858,-60.66728,True
IROSAR93,-32.9963,-60.63944,True
IROSAR96,-33.10744,-60.55261,True
ISANNICO24,-33.59481,-60.35403,True
ICHACABU4,-34.63333,-60.46667,False
ISANTA494,-31.59487,-60.67429,False
ISANTA991,-31.603,-60.673,False
ISANTA992,-31.603,-60.673,False
ISANTA1278,-31.62,-60.682,False
ISANTA473,-31.63583,-60.68831,False
IPARAN41,-31.72139,-60.53831,False
IENTRERO9,-31.73146,-60.51952,False
IROSARIO46,-32.90334,-60.67803,True
IROSAR18,-32.91267,-60.6879,True
IROSAR52,-32.92968,-60.67874,True
ISANTAFE8,-32.94759,-60.67397,True
IROSAR33,-32.93737,-60.6755,True
IROSAR35,-32.93737,-60.67548,True
IROSAR34,-32.93787,-60.67271,True
IROSAR117,-32.953,-60.669,True
IROSAR110,-32.968,-60.654,True
IROSAR28,-32.96824,-60.65367,True
IROSAR123,-32.96822,-60.65362,True
IROSAR121,-32.96822,-60.65359,True
IROSAR23,-32.96823,-60.65354,True
IROSAR97,-33.10757,-60.55236,True
ISANNICO25,-33.52186,-60.31984,True
IBUENOSA526,-34.74052,-60.36762,False
ISANTA71,-31.59816,-60.66792,False
ISANTA1688,-31.6127,-60.66697,False
ISANTA1351,-31.62635,-60.67867,False
ISANTAFE131,-31.63024,-60.60355,False
ISANTAFE106,-31.63036,-60.60333,False
IPARAN98,-31.72803,-60.51252,False
IPARAN81,-31.72767,-60.51256,False
IPARAN80,-31.75396,-60.46815,False
IROSAR76,-32.92824,-60.66292,True
IROSAR100,-32.934,-60.661,True
IROSARIO26,-32.93967,-60.63812,True
IROSAR47,-32.94756,-60.6463,True
