stationID,lat,lon
IJUNN26,-34.58854,-60.93216
IBUENOSA518,-34.60157,-60.94479
IOLIVE78,-32.57265,-60.85191
ISANLORE35,-32.91821,-60.872
IROSARIO31,-32.91897,-60.86213
ICONST47,-33.58137,-60.75068
ISARGE5,-33.47611,-60.71605
IPERGA3,-33.99409,-60.73101
IPERGAMI6,-33.95139,-60.73365
ISANLO21,-32.61976,-60.76074
IROSARIO29,-32.92653,-60.83417
IFUNES8,-32.934,-60.83
ICONSTIT2,-33.3564,-60.72448
IPERGA22,-33.86063,-60.72686
ISANLO46,-32.62556,-60.75908
ISANLO49,-32.77302,-60.78739
IIBARL1,-32.84834,-60.78878
IROSAR91,-32.916,-60.81739
IROSAR89,-32.91727,-60.81134
ISANTAFE35,-32.91727,-60.81128
IROSAR60,-32.92734,-60.81408
IROSAR62,-32.93438,-60.80925
IROSAR61,-33.11406,-60.74818
ISANTAFE6,-33.18419,-60.73627
IPERGA4,-33.76541,-60.6509
IPERGA20,-33.91492,-60.64471
IROJAS6,-34.28152,-60.56347
ISANLO71,-32.74536,-60.74527
IROSAR5,-32.93009,-60.80476
IPREZ1,-32.9975,-60.76801
IROSAR59,-33.08483,-60.73341
IROSAR58,-33.08493,-60.72656
IPERGA17,-33.86997,-60.57628
IPERGA2,-33.90082,-60.57478
ILAINV4,-34.26686,-60.51783
ISANLO11,-32.81152,-60.72078
IROSAR68,-32.91787,-60.8096
ISANTAFE18,-33.31502,-60.60337
IPERGA19,-33.90092,-60.57457
IPERGA14,-33.89128,-60.57283
ISANLORE33,-32.81974,-60.70554
IROSAR13,-32.96384,-60.72445
ICONSTIT7,-33.39299,-60.49813
IBAPERGA16,-33.86659,-60.56293
IROSAR57,-32.85991,-60.71149
IROSAR38,-32.87644,-60.73495
IROSARIO16,-32.86036,-60.70676
IROSAR56,-32.86011,-60.70646
IROSAR102,-32.923,-60.786
IROSARIO34,-32.92541,-60.77119
ISANTAFE105,-32.99466,-60.6511
IVILLA133,-33.0257,-60.62199
IGENER418,-33.103,-60.571
IROSARIO28,-33.10956,-60.55213
IARROY63,-33.15906,-60.51903
ISANNICO29,-33.60379,-60.38225
IPERGA15,-33.89565,-60.55625
IROSAR86,-32.89051,-60.68974
IROSAR15,-32.89896,-60.69244
IROSAR17,-32.89979,-60.69228
IROSAR50,-32.92934,-60.73786
ISANTAFE118,-32.93784,-60.73162
IROSAR84,-32.9332,-60.7174
IROSAR73,-32.93401,-60.7174
IROSAR26,-32.93412,-60.71754
IROSAR75,-32.93414,-60.71752
IROSAR30,-32.96858,-60.66728
IROSAR93,-32.9963,-60.63944
IROSAR96,-33.10744,-60.55261
ISANNICO24,-33.59481,-60.35403
IROSARIO46,-32.90334,-60.67803
IROSAR18,-32.91267,-60.6879
IROSAR52,-32.92968,-60.67874
ISANTAFE8,-32.94759,-60.67397
IROSAR33,-32.93737,-60.6755
IROSAR35,-32.93737,-60.67548
IROSAR34,-32.93787,-60.67271
IROSAR117,-32.953,-60.669
IROSAR110,-32.968,-60.654
IROSAR28,-32.96824,-60.65367
IROSAR123,-32.96822,-60.65362
IROSAR121,-32.96822,-60.65359
IROSAR23,-32.96823,-60.65354
IROSAR97,-33.10757,-60.55236
ISANNICO25,-33.52186,-60.31984
IROSAR76,-32.92824,-60.66292
IROSAR100,-32.934,-60.661
IROSARIO26,-32.93967,-60.63812
IROSAR47,-32.94756,-60.6463
IROSARIO36,-32.94976,-60.64471
IROSARIO39,-32.95218,-60.64463
ISFCALZA2,-32.95,-60.643
IROSAR54,-32.95658,-60.65012
IROSAR90,-32.95996,-60.64228
IROSARIO6,-32.95418,-60.63477
IROSAR69,-32.95807,-60.6361
IROSAR67,-33.12773,-60.50851
ICONST44,-33.31783,-60.3208
IPERGA18,-33.89796,-60.54726
IPERGA21,-33.89951,-60.54523
IPERGAMI7,-33.90522,-60.52405
ISANTAFE78,-32.94104,-60.63556
IROSAR107,-32.94843,-60.63126
IROSARIO11,-32.96047,-60.63338
IROSAR70,-32.95807,-60.6358
ICONSTIT4,-33.23227,-60.32683
ISANNI16,-33.34429,-60.23254
ISANNI25,-33.32282,-60.22486
ISANNI35,-33.33452,-60.22236
ISANNICO36,-33.3375,-60.21816
ISANNI7,-33.33976,-60.21611
ISANNI45,-33.33968,-60.21601
ISANNI2,-33.3386,-60.21414
ISANNI51,-33.33651,-60.21306
ISANNI27,-33.33618,-60.20759
