"stationID","geom","obsTimeLocal","precipTotal_mm"
IROSAR100,POINT (-60.661 -32.934),2025-01-01 16:24:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 16:29:57.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 16:34:44.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 16:39:48.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 16:44:52.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 16:49:56.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 16:54:44.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 16:59:48.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 17:04:52.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 17:09:56.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 17:14:44.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 17:19:48.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 17:24:52.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 17:29:56.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 17:34:45.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 17:39:49.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 17:44:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 17:49:57.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 17:54:45.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 17:59:49.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 18:04:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 18:09:57.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 18:14:45.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 18:19:49.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 18:24:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 18:29:57.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 18:34:45.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 18:39:49.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 18:44:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 18:49:57.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 18:54:45.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 18:59:49.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 19:04:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 19:09:57.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 19:14:45.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 19:19:49.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 19:24:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 19:29:57.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 19:34:45.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 19:39:49.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 19:44:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 19:49:57.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 19:54:45.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 19:59:49.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 20:04:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 20:09:57.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 20:14:45.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 20:19:49.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 20:24:53.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 20:29:57.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 20:34:46.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 20:39:50.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 20:44:54.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 20:49:58.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 20:54:46.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 20:59:50.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 21:04:54.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 21:09:58.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 21:14:46.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 21:19:50.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 21:24:54.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 21:29:58.000,0.0
IROSAR100,POINT (-60.661 -32.934),2025-01-01 21:34:46.000,0.0
